Course Title,Description,Prerequisites,Preq_Notes,Keywords,Course Code,Department,Credits,Difficulty
KINE 3025 Prevention and Care of Athletic Injuries I (4 Credits),"This course introduces students to the principles and practices of sports medicine, athletic training, and the sports performance team. In this first course in a two-course series, students learn about the professional development and responsibilities of healthcare providers and juxtapose this to sport, fitness, and wellness providers who often have different goals and environmental pressures. Course topics also include risk management, pathology of sports and movement injury, management skills, musculoskeletal conditions, and general medical conditions. Prerequisite: KINE 2035 or BIO 3241.","BIO3241, KINE2035",,"a two-course series, athletic, athletic training, condition, course topics, different goals, environmental, environmental pressures, fitness, general, general medical conditions, goal, healthcare, healthcare providers, injury, management, management skills, medical, medicine, movement, musculoskeletal, musculoskeletal conditions, pathology, performance, pressure, professional, provider, responsibility, risk, risk management, series, sport, sports and movement injury, sports medicine, team, the principles, the professional development, the sports performance team, this course, this first course, training, wellness, wellness providers",KINE 3025,KINE,4,Beginner
KINE 3030 Strength and Conditioning Coaching (4 Credits),"This course focuses on developing students’ applied leadership, management, and instruction skills, and professional judgment in kinesiology and sport fields, with an emphasis on strength and conditioning and fitness contexts. Students learn to instruct a variety of strength and conditioning methods, such as speed, plyometrics, agilities, resistance training, and strength athletics (e. g. , Atlas Stones, Highland Games). Students also learn about the associated ethical, psychological, sociocultural, pedagogical, andragogical, and political aspects and issues with the practice of being a strength and conditioning and health and wellness practitioner. The course will also help students seeking certification with the National Strength and Conditioning Association and related organizations. Prerequisite: KINE 1005 or KINE 1015 and KINE 2035 or BIOL 3241.","BIOL3241, KINE1005, KINE1015, KINE2035",,"a strength, a variety, agility, an emphasis, andragogical, applied leadership, aspect, association, athletic, biol, certification, conditioning, contexts, developing students, ethical, fitness, fitness contexts, health, instruction, instruction skills, judgment, kine, kinesiology, kinesiology and sport fields, leadership, management, organization, pedagogical, plyometric, practitioner, professional, professional judgment, psychological, related, related organizations, resistance, resistance training, sociocultural, speed, sport, strength, strength and conditioning methods, strength athletics, the associated ethical, psychological, sociocultural, pedagogical, andragogical, and political aspects, the course, the national strength and conditioning association, the practice, this course, training, variety, wellness, wellness practitioner",KINE 3030,KINE,4,Unknown
KINE 3015 Sport Science (4 Credits),"Sport science is often defined as the scientific study and application of science for sport and performance enhancement. Sport scientists often possess a range of industry titles and roles, but share commonalities in engaging in scientific research, using scientific thinking to enhance outcomes and dispel myths, and instill best practices in the use of performance technology and evidence-informed training practices. Foundational areas of sport science tend to include: physiology, biochemistry, biomechanics, nutrition, skill acquisition, psychology, statistics, analytics, and technology management. Prominent course topics include theoretical and conceptual knowledge of sport training theory, athlete monitoring and assessment, managing data and analytics, and educating and disseminating information. Students will also consider ethical and interdisciplinary aspects of sport science, including psychology of optimal performance, surveillance technology, and informed consent. Prerequisites: KINE 1005 or KINE 1015 and KINE 2035 or BIOL 3241.","BIOL3241, KINE1005, KINE1015, KINE2035",,"a range, acquisition, analytic, aspect, assessment, athlete, athlete monitoring, best practices, biochemistry, biol, biomechanic, commonality, conceptual, consent, dispel, dispel myths, enhancement, ethical, ethical and interdisciplinary aspects, evidence, evidence-informed training practices, foundational, foundational areas, good, industry, industry titles, information, informed consent, instill, kine, management, monitoring, myth, nutrition, optimal, optimal performance, outcome, performance, performance technology, physiology, prominent, prominent course topics, psychology, range, science, scientific research, scientific thinking, scientist, share, share commonalities, skill acquisition, sport, sport and performance enhancement, sport science, sport scientists, sport training theory, statistic, surveillance, surveillance technology, technology, technology management, the scientific study, the use, theoretical and conceptual knowledge, thinking, title, training, use",KINE 3015,KINE,4,Unknown
KINE 2040 Athletic Nutrition (4 Credits),"From the youth to high-performing athletes on to master’s athletes and weekend warriors, nutrition effects recovery, performance, and a host of other processes This course provides students with an understanding of the physiological, psychological, and cultural aspects of athletic and fitness nutrition. Students will learn how to prepare athletes and clients for practice, competition, transitions, and everyday life. Additional course topics include disordered eating, ergogenic aids and supplements, professional nutrition organizations and career development, and sport-specific nutrition strategies.",,,"a host, additional, additional course topics, aid, an understanding, aspect, athlete, athletic, athletic and fitness nutrition, career, career development, client, competition, disordered eating, eating, effect, ergogenic, ergogenic aids, everyday, everyday life, fitness, high-performing athletes, host, life, master, master’s athletes, nutrition, nutrition effects recovery, organization, other processes, performance, physiological, professional, professional nutrition organizations, psychological, recovery, sport, sport-specific nutrition strategies, strategy, supplement, the physiological, psychological, and cultural aspects, the youth, this course, transition, understanding, warrior, weekend, weekend warriors, youth",KINE 2040,KINE,4,Unknown
KINE 1015 Foundations of Olympic Weightlifting and Powerlifting (4 Credits),"Powerlifting and weightlifting (Olympic lifts and their derivations) are two widely popular strength- and power-based sports and these movements offer numerous physiological, psychological, and social benefits. The primary movements, including the deadlift, bench press, squat, clean and jerk, and snatch are also nearly universally applied to sports performance training. From recreational to world champion athletes, understanding the rules, equipment, and training practices of powerlifting and weightlifting is essential to developing mastery as a lifter and instructor. Students in this course will learn by doing and acquiring foundational content knowledge in these lifts and the organization of the sports. Students will also learn about powerlifting and weightlifting national governing bodies and how the sport is administered.",,,"a lifter, athlete, bench, bench press, benefit, body, champion, clean, deadlift, equipment, essential, foundational, foundational content knowledge, governing, instructor, jerk, lift, lifter, mastery, movement, national governing bodies, numerous, numerous physiological, psychological, and social benefits, organization, performance, physiological, power, power-based sports, powerlifting, press, primary, psychological, recreational, rule, snatch, sport, sports performance training, squat, the deadlift, the organization, the primary movements, the rules, the sport, the sports, these lifts, these movements, this course, training, training practices, two widely popular strength-, weightlifting, world champion athletes",KINE 1015,KINE,4,Unknown
KINE 3005 Research in Kinesiology and Sport (4 Credits),"This course focuses on the wide variety of research in kinesiology and sport to prepare students to become critical consumers of scholarship. Students will understand the ethics, values, and other assumptions underpinning kinesiology research. Issues to be explored in relation to research include diversity, equity, and inclusion, marginalized ways of knowing, and how in the name of science people have been harmed. Course topics will include framing a research problem, designing a research study, and doing research, including writing and dissemination. Students will appreciate a wide understanding of qualitative and quantitative, descriptive and explanatory, laboratory and naturalistic approaches to scholarship. Prerequisites: KINE 2000.",KINE2000,,"a research problem, a research study, a wide understanding, assumption, consumer, course topics, critical consumers, descriptive, dissemination, diversity, equity, ethic, explanatory, inclusion, kinesiology, kinesiology research, laboratory, naturalistic, other assumptions, people, qualitative, quantitative, relation, scholarship, science, science people, sport, the ethics, the wide variety, this course, understanding, value, variety, way, wide, writing",KINE 3005,KINE,4,Unknown
KINE 3010 Ethics and Leadership in Kinesiology and Sport (4 Credits),"This course examines moral issues, reasoning, and theories in kinesiology and sport. Students will develop a deep understanding of sport ethics and embody a profound sense of integrity as a leader and citizen. The course will approach ethics from the leader’s role on topics such as equality, diversity, equity, and inclusion, science and research, violence, capitalism, government regulation. Kinesiology and sport-specific ethical issues will be covered, such as drugs and performance enhancing substances, technology and genetic testing, deviance, violence, and fair play.",,,"a deep understanding, a leader, a profound sense, capitalism, citizen, deep, deviance, diversity, drug, equality, equity, ethic, ethical, fair, fair play, genetic, genetic testing, government, government regulation, inclusion, integrity, kinesiology, kinesiology and sport-specific ethical issues, leader, moral, moral issues, performance, play, profound, reasoning, regulation, science, sense, sport, sport ethics, substance, technology, testing, the course, the leader’s role, this course, understanding, violence",KINE 3010,KINE,4,Unknown
KINE 3035 Physiology of Sport Performance (5 Credits),"Sport physiology is the study of how sport participation, physical activity, training, and/or exercise alters the structure and function of systems of the body. This course examines the acute physiological responses and chronic adaptations of the muscular, endocrine, cardiovascular, metabolic, respiratory, and immunological systems of the body as they apply to sport performance. Environmental influences (e. g. , altitude and heat), performance choices (e. g. , nutrition), and selected developmental considerations (e. g. , as related to identity and aging differences) are discussed as they intersect with physiological performance for sport participation and performance. A foundational understanding of sport physiology is needed for the advanced study of many kinesiology topics and careers, such as strength and conditioning, sport science, athletic training, sport psychology, and allied health fields. By design, this course focuses on sport physiology topics to prepare students for applying training principles, methods, programs, and practices to a variety of kinesiology and sport contexts and sport participants.",,,"a foundational understanding, a variety, acute, adaptation, allied health fields, athletic, athletic training, body, cardiovascular, career, choice, chronic, chronic adaptations, conditioning, consideration, developmental, endocrine, environmental, environmental influences, foundational, health, how sport participation, immunological, influence, kinesiology, many kinesiology topics, metabolic, muscular, participant, participation, performance, performance choices, physical, physical activity, physiological, physiological performance, physiology, psychology, respiratory, response, science, selected developmental considerations, sport, sport contexts, sport participants, sport participation, sport performance, sport physiology, sport physiology topics, sport psychology, sport science, strength, structure, the acute physiological responses, the advanced study, the body, the muscular, endocrine, cardiovascular, metabolic, respiratory, and immunological systems, the structure, the study, this course, training, training principles, understanding, variety",KINE 3035,KINE,5,Advanced
"KINE 3000 Diversity, Equity, and Inclusion in Kinesiology & Sport (4 Credits)","This course exposes students to diversity, equity, and inclusion in kinesiology and sport. Related terminologies and frameworks such as social justice, critical studies, and power, privilege, and oppression will also be explored and in relation to the often more palpable term DEI. Students will develop a shrewd understanding of how inequalities, identities, and forms of hate and discrimination were created and how they manifest in sport contexts (e. g. , ownership, labor, leadership, science). Students will also develop practical skills to advance a praxis (theory and practice) of DEI that embraces continuous development and inclusive excellence.",,,"a praxis, a shrewd understanding, contexts, continuous, continuous development, critical studies, dei, discrimination, diversity, equity, excellence, form, hate, identity, inclusion, inclusive, inclusive excellence, inequality, justice, kinesiology, oppression, palpable, power, practical skills, praxis, privilege, related, related terminologies, relation, shrewd, social justice, sport, term, terminology, the often more palpable term dei, this course, understanding",KINE 3000,KINE,4,Unknown
"KINE 2030 Administration of Sport, Fitness, and Wellness (4 Credits)","Organization and administration of sport, fitness, and wellness prepares students to manage and lead in diverse contexts. Course topics introduce students to relevant theoretical and practical aspects of administration, such as managerial functions, human resource management, marketing, budgeting, risk management, and fice. The breadth of the course will set a foundation for students to expand and specialize their skills while pursuing specific career opportunities. Prerequisite: KINE 2000.",KINE2000,,"a foundation, administration, aspect, breadth, budgeting, career, contexts, course topics, diverse, diverse contexts, fice, fitness, foundation, human resource management, kine, management, managerial, managerial functions, marketing, opportunity, organization, relevant, relevant theoretical and practical aspects, resource, risk, risk management, specific career opportunities, sport, the breadth, the course, their skills, wellness",KINE 2030,KINE,4,Beginner
KINE 2010 Motor Learning for Skill Acquisition (4 Credits),"This course will provide students with an understanding of how individuals (e. g. , athletes, performers, recreationists) learn, perform, and retain motor skills. The course will explore how individual psychology, dynamic environments, and varying group and cultural practices affect skill acquisition. Students will develop foundational skills to develop and implement instructional strategies (e. g. , practice plans, activities, feedback, affordances) to facilitate skill learning and performance enhancement, skill modifications for injury prevention, and rehabilitation of injury. This course will cover a variety of theoretical and scientific concepts pertaining to skill acquisition and learning across a variety of settings. Prerequisite: KINE 2000.",KINE2000,,"a variety, acquisition, an understanding, cultural practices, dynamic, dynamic environments, enhancement, foundational, foundational skills, group, individual, individual psychology, injury, injury prevention, instructional, instructional strategies, kine, learning, modification, motor, motor skills, performance, performance enhancement, prevention, psychology, rehabilitation, setting, skill acquisition, skill learning, skill modifications, strategy, the course, theoretical and scientific concepts, this course, understanding, variety, varying group",KINE 2010,KINE,4,Unknown
KINE 3026 Prevention and Care of Athletic Injuries II (4 Credits),"In this second course, in a two-course series, students learn about the professional development and responsibilities of healthcare providers and juxtapose this to sport, fitness, and wellness providers who often have different goals and environmental pressures. This course introduces students to the principles and practices of sports medicine, athletic training, and the sports performance team. Course topics also include risk management, pathology of sports and movement injury, management skills, musculoskeletal conditions, and general medical conditions. Prerequisite: KINE 2035 or BIOL 3241.","BIOL3241, KINE2035",,"a two-course series, athletic, athletic training, biol, condition, course topics, different goals, environmental, environmental pressures, fitness, general, general medical conditions, goal, healthcare, healthcare providers, injury, management, management skills, medical, medicine, movement, musculoskeletal, musculoskeletal conditions, pathology, performance, pressure, professional, provider, responsibility, risk, risk management, second, series, sport, sports and movement injury, sports medicine, team, the principles, the professional development, the sports performance team, this course, this second course, training, wellness, wellness providers",KINE 3026,KINE,4,Beginner
KINE 3980 Internship in Kinesiology and Sport (0-8 Credits),"The purpose of this course is to provide students in the kinesiology and sport studies major an experience for gaining knowledge, skills, and attitudes in related career fields through experiential learning and reflective practice. Through real-world experience, students will develop a more accurate and nuanced understanding of the realities of everyday practice in kinesiology and sport. These experiences are essential for students in the major to test out, integrate, negotiate, and transform their newly acquired theoretical and evidence-based academic subject knowledge within the realities of everyday practice. During internship, students will complete additional course assignments via distance technologies.",,,"a more accurate and nuanced understanding, accurate, additional, additional course assignments, an experience, assignment, attitude, career, distance, distance technologies, essential, everyday, everyday practice, evidence, experience, experiential, experiential learning, internship, kinesiology, learning, negotiate, nuanced, purpose, real, real-world experience, reality, reflective, reflective practice, related, related career fields, sport, subject, technology, the kinesiology and sport studies, the major, the purpose, the realities, their newly acquired theoretical and evidence-based academic subject knowledge, these experiences, this course, understanding",KINE 3980,KINE,0,Unknown
KINE 3021 Biomechanics of Kinesiology and Sport Lab (1 Credit),"Biomechanics of kinesiology and sport lab facilitates students applied skills in the kinematics and kinetics of human movement, with a focus on sport, wellness, and clinical settings. Students collect and analyze data generated from movement analysis technology and make recommendations for how to improve function and reduce dysfunction. A variety of human and athletic movements are explored, and students learn to improve movement performance and reduce injury. Prerequisite: KINE 2023 or BIOL 3241.","BIOL3241, KINE2023",,"a focus, a variety, athletic, biol, biomechanic, clinical, clinical settings, dysfunction, human and athletic movements, human movement, injury, kine, kinematic, kinesiology, kinetic, lab, movement, movement analysis technology, movement performance, performance, recommendation, setting, sport, sport lab, technology, the kinematics, variety, wellness",KINE 3021,KINE,1,Unknown
KINE 3991 Independent Study (0-10 Credits),Independent research/study.,,,"independent, independent research/study",KINE 3991,KINE,0,Unknown
KINE 2701 Special Topics in Kinesiology and Sport Studies (4 Credits),Kinesiology and sport studies topics of special interest to faculty and students as needed to complement and expand existing curriculum and test innovative subject matter or teaching and learning practices. May be taken more than once. Prerequisite may vary based on specific special topic.,,,"curriculum, existing curriculum, faculty, innovative, interest, kinesiology, matter, special, special interest, specific special topic, sport, subject, test, test innovative subject matter",KINE 2701,KINE,4,Unknown
KINE 1005 Resistance Training and Strength and Conditioning Methods (4 Credits),"Resistance training is an overarching term for human physical activities performed against a force at a given velocity. Examples of resistance training include the use of free weights, dumbbells, flywheel and pneumatic machines, bodyweight, bands, chains, and more. Strength and conditioning methods is an overarching term for modes of physical activity commonly used in sport and fitness settings. In this foundational course, students will develop an introductory-to-intermediate scientific and practical understanding of resistance training and strength and conditioning methods.",,,"a force, a given velocity, an introductory-to-intermediate scientific and practical understanding, an overarching term, band, bodyweight, chain, conditioning, dumbbell, example, fitness, flywheel, force, foundational, free, free weights, human physical activities, intermediate, introductory, machine, mode, physical, physical activity, pneumatic, resistance, resistance training, setting, sport, sport and fitness settings, strength, strength and conditioning methods, term, the use, this foundational course, training, understanding, use, velocity, weight",KINE 1005,KINE,4,Beginner
KINE 2050 Sport Psychology (4 Credits),"Sports psychology aims to improve athlete well-being and performance. In this class, students learn about the key concepts and theories from sport psychology such as motivation, anxiety, goal setting, imagery, and team cohesion. A key component of the course requires students to not only apply these concepts through cornhole tournaments throughout the semester, but to also interrogate taken-for-granted assumptions embedded in the field of sport psychology.",,,"a key component, anxiety, assumption, athlete, cohesion, component, cornhole, cornhole tournaments, goal, goal setting, imagery, motivation, performance, psychology, semester, setting, sport, sport psychology, sports psychology, taken-for-granted assumptions, team, team cohesion, the course, the field, the key concepts, the semester, these concepts, this class, tournament",KINE 2050,KINE,4,Unknown
LDRS 3000 Capstone: Leadership Ethics (4 Credits),"This course completes the leadership studies minor as an undergraduate at DU. It is designed to help students think in a structured, reflective way about the philosophical and behavioral ethics as relates to inclusive leadership. Students will gain a greater understanding of their own and others’ ethical perspectives and develop stronger ethical decision making skills to navigate ambiguous situations and conflicting interests associated with future roles in society. A final leadership statement and code of ethics paper will allow students to summarize their learning, values and hopes for future leadership development and impact. Prerequisites: LDRS 2017, LDRS 2018, LDRS 2019, LDRS 2040, LDRS 2050, and LDRS 2060.","LDRS2017, LDRS2018, LDRS2019, LDRS2040, LDRS2050, LDRS2060",,"a final leadership statement, a greater understanding, a structured, reflective way, ambiguous, ambiguous situations, an undergraduate, behavioral, code, conflicting interests, ethic, ethical, ethics paper, final, future, future leadership development, future roles, great, hope, impact, inclusive, inclusive leadership, interest, leadership, learning, paper, perspective, philosophical, reflective, situation, strong, stronger ethical decision, structured, the leadership studies, the philosophical and behavioral ethics, their learning, their own and others’ ethical perspectives, this course, undergraduate, understanding, value, way",LDRS 3000,LDRS,4,Advanced
"LDRS 2017 Inclusive Leadership (1,2 Credit)","In this academic entree to the study of leadership, we explore the fundamental nature of leadership and how to develop as students of leadership in a diverse world. This course encourages students to discover their personal identities, values, preferences, risk-taking propensity and other characteristics as these relate to their leadership potential. Students integrate learning in a Personal Leadership Statement, declaring what they stand for as an inclusive leader. We explore the idea of ""community"" and our obligations to take on a leadership role in the community with whom we identify. Service as an act of leadership will be expected both as a course requirement and overall program requirement in the Pioneer Leadership Program. Prerequisite: membership in the Pioneer Leadership Program (PLP), or permission of PLP faculty.",,,"a course requirement, a diverse world, a leadership role, a personal leadership statement, act, an act, an inclusive leader, characteristic, diverse, faculty, idea, identity, inclusive, leader, leadership, membership, nature, obligation, other characteristics, our obligations, overall, overall program requirement, permission, personal, pioneer, plp, plp faculty, potential, preference, propensity, risk, risk-taking propensity, service, the community, the fundamental nature, the idea, the pioneer leadership program, the study, their leadership potential, their personal identities, this course, value",LDRS 2017,LDRS,0,Beginner
LDRS 2420 Leadership in the Movement for Irish Independence (4 Credits),"Much can be learned from the journey toward Irish Independence. Through an intensive study of this movement, students will explore Irish history and culture with specific focus on the role leaders played in gaining independence. Students will visit historical sites in Dublin, Limerick, and Cork and learn about leaders and their legacies from multiple national experts. From these experiences, students will reflect upon and draw connections between historical rebellion movements and those of today. Priority for this course is given to leadership studies minors.",,,"an intensive study, connection, cork, dublin, experience, expert, historical rebellion movements, historical sites, independence, intensive, irish, irish history, irish independence, journey, leader, leadership, leadership studies minors, legacy, limerick, movement, multiple, multiple national experts, priority, rebellion, site, specific focus, the journey, the role leaders, their legacies, these experiences, this course, this movement, today",LDRS 2420,LDRS,4,Unknown
"LDRS 2019 Teaming for Social Change (1,2 Credit)","Teams are the primary vehicle by which many, if not most, complex tasks are accomplished in our society. As a result, there is an increasing demand for leaders who can build, lead and participate in effective teams. With this course, you are completing your first-year sequence as a student of leadership. It will help lay the theoretical and conceptual foundations you need to prepare you to (a) reflect on teams of which you have been a part; (b) develop strategies for making your teams more effective, whether you are a leader or a team member; and (c) help you develop skills for your sophomore service project. Prerequisites: LDRS 2018 and membership in the Pioneer Leadership Program, or permission of PLP faculty.",LDRS2018,,"a leader, a result, a student, a team member, an increasing demand, complex, conceptual, demand, effective, effective teams, faculty, foundation, ldrs, leader, leadership, many, if not most, complex tasks, member, membership, our society, permission, pioneer, plp, plp faculty, primary, result, sequence, service, sophomore, strategy, task, team, the pioneer leadership program, the primary vehicle, the theoretical and conceptual foundations, this course, vehicle, year, your first-year sequence, your sophomore service project, your teams",LDRS 2019,LDRS,0,Unknown
LDRS 2000 Foundations of Leadership (4 Credits),"LDRS 2000 focuses on developing an understanding of the foundations of leadership through an overview of leadership theories and definitions, an exploration of the present and future contextual demands on leaders, and in-depth self-assessment which includes identification of strengths, weaknesses, social identity, and leadership practices. The course will also explore the role of leadership and followership in teams. LDRS 2000 is designed to broaden your understanding of what constitutes leadership while challenging you to understand yourself better and begin to apply civically engaged leadership in new ways. This course is designed to broaden your understanding of ""who"" and ""what"" constitutes leadership.",LDRS2000,,"an exploration, an overview, an understanding, assessment, civically engaged leadership, contextual, definition, demand, depth, exploration, followership, foundation, future, identification, identity, ldrs, leader, leadership, leadership practices, leadership theories, new, new ways, present, self, social identity, strength, team, the course, the foundations, the present and future contextual demands, the role, this course, understanding, way, weakness, your understanding",LDRS 2000,LDRS,4,Unknown
LDRS 2100 Finding Our Path: Discovering Meaning and Purpose (4 Credits),"The Finding Your Way course is an opportunity to slow down and identify your passion, deep commitment, and calling. To locate a more holistic center, a sovereign-self, away from the influences of academic work, social-networks, family, or self-imposed expectations. In the midst of the busy and compressed experiences of campus life it is easy to lose track of one’s intrinsic drive, an internal-compass of meaning and purpose. The Finding Your Way course is an invitation to meet and develop relationships and sense of belonging with fellow DU students who are also struggling with finding ways to understand the emerging sense of self at the interface between the demands of academia, larger social pressures, and expectations from loved ones. Nationally the rates of depression, anxiety, burnout, cynicism, and loss of heart are increasing on college campuses. It seems that many students are in need of tools and strategies for locating meaning and purpose in their academic life, to make sense of the tension between self and external demands. The Finding Your Way course will address these concerns by: -Disconnecting from the pace and intensity of campus life through dedicated time for rest and personal renewal; -Developing a more wholehearted and integrated self by exploring sources of fragmentation; -Seeking a deeper understanding of identity and sense of purpose through reflection; -Connecting with fellow DU students so as to develop a sense of collegial belonging; and -Experiencing the healing gift of being listened too at the deepest levels of your heart. Finding Your Way course is structured around a retreat format consistent with Courage to Teach practices and principles that have guided the inner-work of young leaders, students, teachers, physicians, faith leaders and members of the helping professions for over 20 years. You and a group of 20-25 DU students are invited (not required), through small group conversation, reflective readings, personal time, journaling, and art to find your way toward wholeness. The retreat will provide participants with greater clarity on how to slow down and attend to one’s deep sense of selfhood with courage, fearlessness, and imagination.",,,"20-25 du students, a deeper understanding, a group, a more holistic center, a retreat format, a sense, a sovereign-self, academia, academic work, an internal-compass, an invitation, an opportunity, anxiety, art, belonging, burnout, busy, campus, campus life, center, clarity, college, college campuses, collegial, collegial belonging, commitment, compass, compressed, concern, consistent, conversation, courage, cynicism, dedicated, dedicated time, deep, deep commitment, demand, depression, drive, easy, expectation, experience, external, faith, faith leaders, family, fearlessness, fellow, fellow du students, finding, format, fragmentation, gift, great, greater clarity, group, heart, holistic, identity, imagination, influence, inner, intensity, interface, internal, intrinsic, invitation, journaling, large, larger social pressures, leader, level, life, loss, loved, loved ones, many students, meaning, member, midst, need, network, one, one’s deep sense, one’s intrinsic drive, opportunity, over 20 years, pace, participant, passion, personal, personal renewal, personal time, physician, pressure, profession, purpose, rate, reading, reflection, reflective, reflective readings, relationship, renewal, rest, retreat, self, self and external demands, selfhood, sense, small, small group conversation, source, sovereign, strategy, teacher, tension, the busy and compressed experiences, the deepest levels, the demands, the emerging sense, the finding, the healing gift, the helping professions, the influences, the inner-work, the interface, the midst, the pace, the rates, the retreat, the tension, their academic life, these concerns, time, tool, track, understanding, way, wholeness, year, young, young leaders, your heart, your passion, your way, your way course",LDRS 2100,LDRS,4,Unknown
LDRS 2911 The Job & Internship Search: Taking the Lead in Your Career Development (2 Credits),"This course is designed to give students the unique resources, skills, confidence and tools necessary to be successful in the job and internship search and develop a mindset for strong workplace excellence and leadership. The search process involves much more than simply submitting a resume in the current economy. Through in-class activities and assignments, students will understand workplace complexities, deepen self-knowledge around their abilities, strengths, and interests; and, integrate this information to develop a strong career action plan to successfully navigate their professional development. The course will include content delivered by Career & Professional Development professionals, employers, and alumni.",,,"a mindset, a resume, a strong career action plan, action, alumnus, assignment, career, career & professional development professionals, complexity, confidence, economy, employer, excellence, information, interest, internship, job, leadership, mindset, necessary, plan, professional, resource, resume, search, self, strength, strong, strong workplace excellence, successful, the course, the current economy, the job and internship search, the search process, the unique resources, their abilities, their professional development, this course, this information, tool, unique, workplace, workplace complexities",LDRS 2911,LDRS,2,Unknown
LDRS 2912 Careers and Leadership Development (2 Credits),"This course is designed to facilitate student’s career and professional development through self-reflection, industry knowledge, and building professional connections. Students will develop deep knowledge around their strengths and personal characteristics relevant to the world of work and how to leverage those unique abilities to successfully navigate future internship and work experiences, along with communicating their story and value add when connecting with employers. Through targeted exercises and experiential learning, including readings and assignments, students will learn how to increase their emotional intelligence, self-esteem, and confidence, which is vital to workplace and leadership success. Additionally, students will hear from local leaders and DU alumni to provide further training and insight on topics that promote effective decision-making and planning for lifelong career progression and development.",,,"alumnus, assignment, career, characteristic, confidence, connection, deep, deep knowledge, du alumni, effective, effective decision-making, emotional, employer, esteem, exercise, experience, experiential, experiential learning, further training, future, future internship, industry, industry knowledge, insight, intelligence, internship, leader, leadership, leadership success, learning, lifelong, lifelong career progression, local leaders, personal, personal characteristics, planning, professional, professional connections, progression, reading, reflection, relevant, self, story, strength, student’s career and professional development, success, targeted exercises, the world, their emotional intelligence, their story, their strengths, this course, those unique abilities, training, unique, value, vital, work experiences, workplace",LDRS 2912,LDRS,2,Unknown
LDRS 2021 Leadership and Social Movements (1-2 Credits),"This course continues the process of learning about leadership as a process and the role of the leader and follower in that process. Particular attention will be paid to developing passions, self-interests and facilitation skills that allow leaders and followers to innovate and create change. Service as an act of leadership continues both as a course requirement and overall program requirement in the Pioneer Leadership Program. Prerequisites: LDRS 2017, LDRS 2019 and membership in the Pioneer Leadership Program (PLP), membership in the Colorado Women's College or permission of PLP faculty.","LDRS2017, LDRS2019",,"a course requirement, a process, act, an act, attention, college, colorado, developing passions, facilitation, facilitation skills, faculty, follower, interest, leader, leadership, membership, overall, overall program requirement, particular, particular attention, passion, permission, pioneer, plp, plp faculty, self, service, that process, the colorado women's college, the leader, the pioneer leadership program, the process, the role, this course, woman",LDRS 2021,LDRS,0,Unknown
LDRS 2130 Listening and Discernment (2 Credits),"Leadership scholars and practitioners alike name listening as an essential practice of creating change and building sustainable and healthy relationships. The ability to hold a listening-first disposition aids a leader’s ability to engage with the volatile, uncertain, complex, and ambiguous (VUCA) modern world. Without listening and discernment practices, the distinction between one’s intention/impact, power over/power with, and tyranny/leadership is unknowable. In this course, students will learn about different models of effective, active, and embodied listening. True listening and discernment is an active practice, which can be grown and developed into a generative habit. By learning practices and approaches for listening and discernment as a means of enriching one’s capacity to create generative social change.",,,"a generative habit, a leader’s ability, a listening-first disposition aids, a means, active, aid, ambiguous, an active practice, an essential practice, capacity, complex, different models, discernment, disposition, distinction, effective, essential, generative, generative social change, habit, healthy, impact, intention, leader, leadership, leadership scholars, listening, means, modern, one’s capacity, power, practitioner, relationship, scholar, sustainable, sustainable and healthy relationships, the ability, the distinction, the volatile, uncertain, complex, and ambiguous modern world, this course, true, true listening, tyranny, uncertain, unknowable, volatile",LDRS 2130,LDRS,2,Unknown
LDRS 3500 Ethics in Leadership (4 Credits),"To fully understand effective leaders, one must also appreciate and apply ethical perspectives and principles to leadership action. All forms of leadership communication involve ethical issues. This course is designed to increase students' understanding of the scope of ethical issues embedded in leadership activities, and to provide the opportunity to identify and discuss current ethical issues and challenges in our local to global world. Research on and application of ethical leadership are discussed in a course environment that encourages and supports the expression of diverse ideas, opinions, and beliefs. The overarching goal of the course is to learn how to ethically navigate ambiguous situations and conflicting interests in one's role as a leader. Prerequisites: LDRS 2517, LDRS 2518 and LDRS 2540 or LDRS 2541. Course open to Colorado Women's College students only.","LDRS2517, LDRS2518, LDRS2540, LDRS2541",,"a course environment, a leader, action, all forms, ambiguous, ambiguous situations, belief, challenge, college, colorado, colorado women's college students, conflicting interests, current ethical issues, diverse, diverse ideas, effective, effective leaders, ethical, ethical issues, ethical leadership, ethical perspectives, expression, form, global world, goal, idea, interest, ldrs, leader, leadership, leadership activities, leadership communication, one's role, open, opinion, opportunity, perspective, scope, situation, students' understanding, the course, the expression, the opportunity, the overarching goal, the scope, this course, understanding, woman",LDRS 3500,LDRS,4,Unknown
